ner,Niger,africa_sub_saharan
nga,Nigeria,africa_sub_saharan
rwa,Rwanda,africa_sub_saharan
stp,Sao Tome and Principe,africa_sub_saharan
sen,Senegal,africa_sub_saharan
syc,Seychelles,africa_sub_saharan
sle,Sierra Leone,africa_sub_saharan
som,Somalia,africa_sub_saharan
zaf,South Africa,africa_sub_saharan
sdn,Sudan,africa_sub_saharan
swz,Swaziland,africa_sub_saharan
tza,Tanzania,africa_sub_saharan
tgo,Togo,africa_sub_saharan
uga,Uganda,africa_sub_saharan
zmb,Zambia,africa_sub_saharan
zwe,Zimbabwe,africa_sub_saharan
ssd,South Sudan,africa_sub_saharan
hos,Holy See,europe_west
